,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Number of Rooms,Number of Bathrooms,Floor,Suitable for Bank Loan,Number of Floors of the Building,Heating Type,Age of the Building,Furnishing Status,Usage Status,Status of the Property,Maintenance Fee,Rental Income,From Whom,Title Deed Status,House Type,"Video Home Tour
                                                                ?",Unit Exchange,Pet Friendly Paws Houses,Layout,Parcelled,Fiyat,İl,İlçe,Mahalle,Oda
40,130,149m²,7,Kombi (Doğalgaz),5,11-15 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,7000000,İstanbul,Çekmeköy,Mimar Sinan, 3 + 1 
41,80,100m²,4,Kombi (Doğalgaz),3,6-10 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1890000,İstanbul,Eyüpsultan,Rami Yeni, 2 + 1 
42,105,125m²,4,Kombi (Doğalgaz),,11-15 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1215000,İstanbul,Çekmeköy,Merkez, 3 + 2 
43,112,120m²,10-20 arası,Merkezi Sistem,1,0,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,İstanbul,Kadıköy,Merdivenköy, 3 + 1 
44,130,140m²,4,Kombi (Doğalgaz),4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1520000,İstanbul,Sancaktepe,Mevlana, 3 + 1 
45,150,180m²,10,Merkezi Sistem (Isı Payı Ölçer),4,4,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,İstanbul,Gaziosmanpaşa,Mevlana, 4 + 1 
46,90,115m²,4,Kombi (Doğalgaz),4,4,Eşyasız,Mülk Sahibi,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,1300000,İstanbul,Sancaktepe,Safa, 3 + 1 
47,105,120m²,8,Merkezi Sistem,2,16-20 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,3400000,İstanbul,Kadıköy,Feneryolu, 3 + 1 
48,65,85m²,6,Kombi (Doğalgaz),4,36-40 arası,Eşyasız,Kiracılı,Evet,,2511,320,,,,,,,,,,,,,,,,,,,,,,,4700000,İstanbul,Kartal,Orhantepe, 2 + 1 
49,130,145m²,5,Kombi (Doğalgaz),Yüksek Giriş,4,Eşyasız,Boş,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,,,950000,İstanbul,Esenyurt,Talatpaşa, 2 + 2 
50,190,200m²,5,Kombi (Doğalgaz),4,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,2875000,İstanbul,Beylikdüzü,Yakuplu, 4 + 1 
51,85,105m²,5,Kombi (Doğalgaz),Yüksek Giriş,3,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,849999,İstanbul,Esenyurt,Pınar, 2 + 1 
52,40,55m²,10-20 arası,Merkezi Sistem (Isı Payı Ölçer),14,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2050000,İstanbul,Ümraniye,Çamlık, 1 + 1 
53,90,100m²,4,Kombi (Doğalgaz),Bahçe katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,559999,İstanbul,Esenyurt,Cumhuriyet, 2 + 1 
54,110,115m²,5,Soba (Doğalgaz),Yüksek Giriş,26-30 arası,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,İstanbul,Bağcılar,100. Yıl, 3 + 1 
55,80,90m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1700000,İstanbul,Gaziosmanpaşa,Bağlarbaşı, 2 + 1 
56,160,188m²,10-20 arası,Kombi (Doğalgaz),15,11-15 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,6150000,İstanbul,Esenler,Kemer, 4 + 1 
57,75,90m²,2,Kombi (Doğalgaz),,4,Eşyalı (Mobilyalı),Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,2700000,İstanbul,Eyüpsultan,Mimar Sinan, 2 + 1 
58,95,115m²,5,Soba (Doğalgaz),2,26-30 arası,Eşyasız,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,,,1250000,İstanbul,Gaziosmanpaşa,Karadeniz, 2 + 1 
59,105,115m²,5,Kombi (Doğalgaz),2,1,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,1045000,İstanbul,Avcılar,Mustafa Kemal Paşa, 2 + 1 
60,90,100m²,10-20 arası,Kombi (Doğalgaz),7,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,,,925000,İstanbul,Esenyurt,Cumhuriyet, 2 + 1 
